file_path,evidence_type,description,locator
topology.clab.yml,source,Containerlab topology definition,Repository root
configs/core/frr.conf,source,FRR routing configuration,configs/core/
configs/gateway/bootstrap.sh,source,Gateway bootstrap (addressing, tc mirror, nft load),configs/gateway/
configs/gateway/nftables.conf,source,Golden nftables firewall policy (stateful least-privilege),configs/gateway/
configs/gateway/baseline-faults/fault1-finance-established.conf,fault-overlay,Fault 1: finance established-return removed,configs/gateway/baseline-faults/
configs/gateway/baseline-faults/fault2-management-ingress-broadened.conf,fault-overlay,Fault 2: management ingress broadened,configs/gateway/baseline-faults/
configs/gateway/baseline-faults/fault3-bootstrap-no-dmz-mirror.sh,fault-overlay,Fault 3: DMZ removed from sensor mirror,configs/gateway/baseline-faults/
configs/gateway/baseline-faults/fault4-d4-udp-dns-return.conf,fault-overlay,Fault 4 (D4): UDP DNS return-state broken,configs/gateway/baseline-faults/
telemetry/suricata.yaml,source,Suricata sensor configuration,telemetry/
detections/suricata.rules,source,Candidate detection rules (5 rules),detections/
services/internet-init.sh,source,Internet node service stubs (HTTP/DNS),services/
services/servers-init.sh,source,Servers zone services (DNS/NTP/payroll/code),services/
services/dmz-init.sh,source,DMZ web service stub,services/
services/mgmt-init.sh,source,Management zone client tooling,services/
services/client-init.sh,source,Generic zone client tooling,services/
tests/test_network_policy.py,test,30 published network assertions (NET-01..NET-30),tests/
tests/test_firewall_counters.py,test,Firewall counter evidence validation tests,tests/
tests/test_telemetry.py,test,Telemetry and observability tests,tests/
scripts/collect-state.sh,script,Evidence collection (counters, routes, interfaces),scripts/
scripts/ingest_adapter.py,script,Telemetry adapter (Suricata -> Stage 5/6 schema),scripts/
test-results.xml,evidence,JUnit XML test results (generated by make test),Repository root
manifest.sha256,evidence,SHA-256 hashes of all submission artifacts,Repository root
assessment-manifest.json,evidence,Machine-readable assessment manifest,Repository root
decision-log.md,documentation,Architecture and policy tradeoff decisions (7 entries),Repository root
fault-recovery-log.md,documentation,Fault injection/diagnosis/repair log (4 faults),Repository root
integrity-attestation.md,documentation,Integrity attestation and AI disclosure,Repository root
continuity-record.md,documentation,Portfolio continuity from Stage 6 to Stage 7,Repository root
README.md,documentation,Repository overview and quick-start guide,Repository root
evidence/reference-state/,evidence,Machine-readable state snapshot (counters, routes),evidence/reference-state/
pcaps/,evidence,Packet captures (collected during fault cycle),pcaps/
